Transaction ID,Date,Time,Day,Product,Category,Quantity,Unit Price (£),Promotion,Stock Before Sale,Waste Quantity,Staff on Shift,Checkout Wait (mins),Revenue (£),Hours
T00001,10/06/2026,16:35,Wednesday,Cola 2L,Drinks,2,£1.75,No,34,0,5,4.3,£3.50,16
T00002,07/07/2026,16:10,Tuesday,Bananas,Fresh Produce,1,£0.95,No,18,0,4,3.6,£0.95,16
T00003,30/08/2026,13:25,Sunday,Kitchen Roll,Household,4,£2.80,Yes,52,0,7,6.3,£11.20,13
T00004,20/07/2026,21:25,Monday,Tomatoes,Fresh Produce,2,£1.49,No,3,0,7,1.7,£2.98,21
T00005,04/06/2026,12:10,Thursday,Cheddar Cheese,Dairy,1,£2.79,No,28,0,8,5.7,£2.79,12
T00006,18/06/2026,15:40,Thursday,White Bread,Bakery,3,£1.39,No,30,0,4,3.5,£4.17,15
T00007,27/07/2026,13:00,Monday,Apples,Fresh Produce,3,£1.79,No,18,0,9,4.9,£5.37,13
T00008,04/08/2026,17:40,Tuesday,Ice Cream,Frozen,1,£3.36,Yes,20,0,7,3.8,£3.36,17
T00009,08/07/2026,11:50,Wednesday,Cheddar Cheese,Dairy,3,£2.79,No,41,0,6,2.0,£8.37,11
T00010,19/08/2026,11:00,Wednesday,Cheddar Cheese,Dairy,1,£2.37,Yes,3,0,6,1.3,£2.37,11
T00011,15/06/2026,17:45,Monday,Chocolate Cookies,Bakery,1,£1.69,No,46,0,8,6.0,£1.69,17
T00012,15/06/2026,12:05,Monday,Bin Bags,Household,1,£2.29,Yes,50,0,6,6.5,£2.29,12
T00013,28/07/2026,18:25,Tuesday,Frozen Pizza,Frozen,1,£3.49,No,39,0,9,4.4,£3.49,18
T00014,11/07/2026,07:40,Saturday,Tomatoes,Fresh Produce,1,£1.49,No,23,0,4,3.3,£1.49,7
T00015,04/08/2026,16:55,Tuesday,Croissants,Bakery,1,£1.99,No,24,0,5,3.6,£1.99,16
T00016,17/07/2026,17:10,Friday,Kitchen Roll,Household,1,£3.29,No,24,0,6,5.2,£3.29,17
T00017,01/06/2026,10:25,Monday,Cola 2L,Drinks,1,£1.49,Yes,36,0,7,2.8,£1.49,10
T00018,09/08/2026,21:25,Sunday,Ice Cream,Frozen,3,£3.95,No,19,0,5,3.1,£11.85,21
T00019,17/07/2026,12:30,Friday,Milk 2L,Dairy,1,£1.55,No,42,0,8,3.3,£1.55,12
T00020,02/06/2026,16:45,Tuesday,Ice Cream,Frozen,2,£3.95,No,44,0,6,2.4,£7.90,16
T00021,08/08/2026,11:30,Saturday,Bin Bags,Household,3,£2.69,No,7,0,5,3.1,£8.07,11
T00022,11/08/2026,14:00,Tuesday,Bottled Water 6pk,Drinks,2,£2.49,No,39,0,5,3.3,£4.98,14
T00023,08/07/2026,19:00,Wednesday,Kitchen Roll,Household,1,£3.29,No,6,0,9,3.6,£3.29,19
T00024,30/08/2026,14:40,Sunday,Apples,Fresh Produce,1,£1.79,No,34,3,4,4.5,£1.79,14
T00025,19/06/2026,12:20,Friday,Tomatoes,Fresh Produce,2,£1.27,Yes,9,0,7,5.5,£2.54,12
T00026,29/08/2026,12:00,Saturday,Bottled Water 6pk,Drinks,1,£2.49,No,15,0,6,3.8,£2.49,12
T00027,15/06/2026,16:05,Monday,Bananas,Fresh Produce,1,£0.95,No,28,1,6,1.8,£0.95,16
T00028,06/06/2026,21:40,Saturday,Bottled Water 6pk,Drinks,1,£2.49,No,15,0,4,3.4,£2.49,21
T00029,19/06/2026,16:15,Friday,Chocolate Cookies,Bakery,1,£1.69,No,34,0,7,2.4,£1.69,16
T00030,28/06/2026,14:20,Sunday,Bin Bags,Household,1,£2.69,No,52,0,7,2.3,£2.69,14
T00031,23/08/2026,08:50,Sunday,Croissants,Bakery,2,£1.99,No,44,0,7,2.3,£3.98,8
T00032,12/06/2026,12:55,Friday,Orange Juice,Drinks,3,£1.89,No,47,0,9,4.0,£5.67,12
T00033,27/06/2026,14:55,Saturday,Milk 2L,Dairy,2,£1.55,No,11,0,5,3.9,£3.10,14
T00034,18/08/2026,17:25,Tuesday,Tomatoes,Fresh Produce,3,£1.27,Yes,18,1,8,5.6,£3.81,17
T00035,29/06/2026,20:55,Monday,Frozen Pizza,Frozen,3,£2.97,Yes,4,1,6,1.3,£8.91,20
T00036,15/07/2026,17:35,Wednesday,Washing Liquid,Household,1,£3.99,No,55,0,9,5.3,£3.99,17
T00037,28/07/2026,18:15,Tuesday,Tomatoes,Fresh Produce,1,£1.49,No,43,0,7,5.5,£1.49,18
T00038,10/06/2026,10:40,Wednesday,Frozen Chips,Frozen,1,£2.25,No,16,0,6,2.8,£2.25,10
T00039,11/07/2026,12:45,Saturday,Tomatoes,Fresh Produce,1,£1.49,No,59,1,8,3.3,£1.49,12
T00040,18/07/2026,18:20,Saturday,Greek Yogurt,Dairy,1,£1.85,No,9,0,9,2.8,£1.85,18
T00041,06/06/2026,16:05,Saturday,Cheddar Cheese,Dairy,1,£2.37,Yes,47,0,6,2.5,£2.37,16
T00042,17/06/2026,11:25,Wednesday,Ice Cream,Frozen,1,£3.36,Yes,35,0,6,1.8,£3.36,11
T00043,15/07/2026,19:20,Wednesday,Frozen Chips,Frozen,1,£2.25,No,13,0,7,3.0,£2.25,19
T00044,25/06/2026,19:45,Thursday,Bananas,Fresh Produce,1,£0.95,No,43,0,6,6.1,£0.95,19
T00045,12/06/2026,20:45,Friday,Frozen Chips,Frozen,1,£2.25,No,52,0,5,3.7,£2.25,20
T00046,18/07/2026,16:05,Saturday,Croissants,Bakery,1,£1.99,No,15,0,6,2.5,£1.99,16
T00047,09/08/2026,13:50,Sunday,Ice Cream,Frozen,1,£3.95,No,59,0,8,6.2,£3.95,13
T00048,30/06/2026,16:55,Tuesday,Washing Liquid,Household,2,£3.99,No,42,0,4,2.3,£7.98,16
T00049,29/06/2026,12:30,Monday,Orange Juice,Drinks,1,£1.89,No,53,0,6,5.4,£1.89,12
T00050,11/07/2026,12:05,Saturday,Frozen Chips,Frozen,2,£2.25,No,55,0,6,4.2,£4.50,12
T00051,02/08/2026,18:30,Sunday,Chocolate Cookies,Bakery,1,£1.69,No,35,2,7,4.5,£1.69,18
T00052,05/06/2026,17:50,Friday,Bananas,Fresh Produce,1,£0.95,No,6,0,6,5.7,£0.95,17
T00053,27/06/2026,19:20,Saturday,Bin Bags,Household,2,£2.69,No,9,0,8,4.2,£5.38,19
T00054,02/06/2026,14:15,Tuesday,Washing Liquid,Household,1,£3.99,No,24,0,4,4.4,£3.99,14
T00055,03/06/2026,18:30,Wednesday,Bottled Water 6pk,Drinks,1,£2.49,No,46,0,8,3.4,£2.49,18
T00056,12/07/2026,14:50,Sunday,Bin Bags,Household,2,£2.69,No,44,0,5,3.4,£5.38,14
T00057,30/06/2026,08:55,Tuesday,Cola 2L,Drinks,3,£1.75,No,18,0,5,3.5,£5.25,8
T00058,13/08/2026,16:40,Thursday,Kitchen Roll,Household,2,£3.29,No,29,1,4,3.7,£6.58,16
T00059,25/08/2026,16:00,Tuesday,Apples,Fresh Produce,1,£1.52,Yes,50,0,7,1.6,£1.52,16
